arg-id,argument,x,y,cluster-level-1-id,cluster-level-2-id
Acsv-47_0,AIによる予測分析は経済の動向把握に役立つ,11.439176,3.1260738,1_5,2_17
Acsv-48_0,AI技術の進化は国ごとの技術格差を広げる恐れがある,8.914422,4.7874246,1_2,2_1
Acsv-49_0,市民生活に根付いたAIサービスの普及は利便性を向上させる,9.920572,5.589809,1_2,2_9
Acsv-50_0,AIは新たなビジネスモデルを生み出す,12.332581,4.9405866,1_4,2_33
Acsv-51_0,AIの透明性と説明責任は利用者の信頼を得るために必要,9.040477,2.0864143,1_1,2_36
Acsv-52_0,自然災害の被害予測にAIを活用する試みが進んでいる,11.107743,3.595362,1_3,2_13
Acsv-53_0,AIを利用したスマート農業は食糧生産に革命を起こす可能性がある,11.736857,4.820261,1_4,2_28
Acsv-54_0,AIの進歩は遠隔医療の発展を促進する,10.521741,3.499583,1_3,2_40
Acsv-55_0,産業界でのAI活用はイノベーションの加速に寄与している,10.704985,5.3423505,1_2,2_16
Acsv-56_0,AIの適用範囲拡大には社会全体の理解と協力が不可欠,10.181063,1.9644428,1_1,2_39
Acsv-57_0,AI技術は交通渋滞の緩和に役立つ,9.313879,5.1673975,1_2,2_15
Acsv-58_0,AIは研究開発分野での試行錯誤を効率化できる,12.307809,3.9609284,1_5,2_27
Acsv-59_0,AIの導入に伴うセキュリティリスクに対して十分な対策が求められる,9.223119,2.7613585,1_1,2_7
Acsv-60_0,AIは個人のライフログ解析を通じて健康管理をサポートできる,11.446516,3.749935,1_3,2_11
Acsv-61_0,AIを用いた犯罪解析は警察の捜査に大きな助けとなる,12.221077,2.8490872,1_5,2_20
Acsv-62_0,AI技術は公共サービスの改善に寄与する可能性が高い,9.185173,4.820002,1_2,2_1
Acsv-63_0,AIのアルゴリズムに対する外部監査が必要,8.875039,1.9233528,1_1,2_36
Acsv-64_0,AIの判断基準の公開は社会的合意形成に重要である,9.561734,1.7853433,1_1,2_49
Acsv-65_0,AIは複雑な問題の解決策を提示する力を持っている,12.381252,3.5726254,1_5,2_21
Acsv-66_0,AIの利用により業務の自動化と効率化が実現されている,10.510977,4.4172935,1_3,2_44
Acsv-67_0,AIを利用する際のプライバシー保護対策は必ず講じるべき,8.895865,2.5781367,1_1,2_48
Acsv-68_0,AIは新たな研究分野を切り開く原動力となる,12.648683,4.697653,1_4,2_23
Acsv-69_0,AI技術の国際的な標準化が進むことを期待する,8.661867,4.5903854,1_2,2_46
Acsv-70_0,AIを取り巻く法整備は今後の大きな課題の一つである,10.074135,3.0721414,1_1,2_31
